word,main_word,stem
आणायच्ं ,आण,ायच्ं 
आणायला ,आण,ायला 
आण्ढ् ,आण,्ढ् 
आणी ,आण,ी 
आणील ,आण,ील 
आणीन ,आण,ीन 
आणीत ,आण,ीत 
आणू ,आण,ू 
आणून ,आण,ून 
आण ,आण, 
आणखी ,आण,खी 
आणखीच ,आण,खीच 
आणखीही ,आण,खीही 
आणखीन ,आण,खीन 
आणखीनच् ,आण,खीनच् 
आणणारा ,आण,णारा 
आणणारी ,आण,णारी 
आणणाऱ्या ,आण,णाऱ्या 
आणणार ,आण,णार 
आणणारे ,आण,णारे 
आणणे ,आण,णे 
आणण्याचा ,आण,ण्याचा 
आणण्याची ,आण,ण्याची 
आणण्याचे ,आण,ण्याचे 
आणण्याच्या ,आण,ण्याच्या 
आणण्याजोगे ,आण,ण्याजोगे 
आणण्यासाठी ,आण,ण्यासाठी 
आणण्यात ,आण,ण्यात 
आणची ,आण,ची 
आणचे ,आण,चे 
आणइ ,आण,इ 
आणला ,आण,ला 
आणली ,आण,ली 
आणलीस ,आण,लीस 
आणलीया ,आण,लीया 
आणल्ं ,आण,ल्ं 
आणले ,आण,ले 
आणलेला ,आण,लेला 
आणलेली ,आण,लेली 
आणलेलं ,आण,लेलं 
आणलेले ,आण,लेले 
आणलेल्या ,आण,लेल्या 
आणल्या ,आण,ल्या 
आणल्यासारखेही ,आण,ल्यासारखेही 
आणत् ,आण,त् 
आणता ,आण,ता 
आणताना ,आण,ताना 
आणतात ,आण,तात 
आणते ,आण,ते 
आणतो ,आण,तो 
आणतोस ,आण,तोस 
आणय्ची ,आण,य्ची 
आणय्चे ,आण,य्चे 
आणय्ला ,आण,य्ला 
आणे ,आण,े 
आणेच ,आण,ेच 
आणेसुध्दा ,आण,ेसुध्दा 
आण्हा ,आण,्हा 
आण्हांला ,आण,्हांला 
आण्हांलाही ,आण,्हांलाही 
आण्ही ,आण,्ही 
आणि ,आण,ि 
आणिकांचे ,आण,िकांचे 
आण्यांचा ,आण,्यांचा 
आण्यांची ,आण,्यांची 
आण्याला ,आण,्याला 
आधारसामग्री ,आधारसामग्री, 
आधारसामग्रीची ,आधारसामग्री,ची 
आधाराने ,आधार,ाने 
आधाराप्रमाणे ,आधार,ाप्रमाणे 
आधारावर् ,आधार,ावर् 
आधारावर्च ,आधार,ावर्च 
आधारीत ,आधार,ीत 
आधार ,आधार, 
आधारभूत ,आधार,भूत 
आधारही ,आधार,ही 
आधारलेली ,आधार,लेली 
आधारलेले ,आधार,लेले 
आधारलेल्या ,आधार,लेल्या 
आधारसामग्री ,आधार,सामग्री 
आधारसामग्रीची ,आधार,सामग्रीची 
आधारसाम्रगीचा ,आधार,साम्रगीचा 
आधारे ,आधार,े 
आधारेच ,आधार,ेच 
आधारित ,आधार,ित 
आठव्णारी ,आठव्ण,ारी 
आठव्णार ,आठव्ण,ार 
आठव्णी ,आठव्ण,ी 
आठव्णींचा ,आठव्ण,ींचा 
आठव्णींच्या ,आठव्ण,ींच्या 
आठव्णींनी ,आठव्ण,ींनी 
आठव्णीही ,आठव्ण,ीही 
आठव्णीमुळे ,आठव्ण,ीमुळे 
आठव्णीनं ,आठव्ण,ीनं 
आठव्णीने ,आठव्ण,ीने 
आठव्णीत ,आठव्ण,ीत 
आठव्ण ,आठव्ण, 
आठव्णे ,आठव्ण,े 
आठव्डा ,आठव्ड,ा 
आठव्डाभर् ,आठव्ड,ाभर् 
आठव्डयांपूर्वी ,आठव्ड,यांपूर्वी 
आठव्डयात ,आठव्ड,यात 
आठव्डे ,आठव्ड,े 
आठव्ड्यांचा ,आठव्ड,्यांचा 
आठव्ड्यांसाठी ,आठव्ड,्यांसाठी 
आठव्ड्यांत ,आठव्ड,्यांत 
आठव्ड्याची ,आठव्ड,्याची 
आठव्ड्यानंतर् ,आठव्ड,्यानंतर् 
आठव्ड्यातून ,आठव्ड,्यातून 
आठव्ड्यात ,आठव्ड,्यात 
आठव्ताच ,आठव्त,ाच 
आठव्तात ,आठव्त,ात 
आठव्त ,आठव्त, 
आठव्तंय ,आठव्त,ंय 
आठव्ते ,आठव्त,े 
आठव्तो ,आठव्त,ो 
आठव्तोय ,आठव्त,ोय 
आहेरातील ,आहेर,ातील 
आहे ,आहे, 
आहेच ,आहे,च 
आहेह ,आहे,ह 
आहेरातील ,आहे,रातील 
आहेस ,आहे,स 
आहेत ,आहे,त 
आहेतच् ,आहे,तच् 
आहेय ,आहे,य 
आकारांच्या ,आकार,ांच्या 
आकाराशी ,आकार,ाशी 
आकाराचा ,आकार,ाचा 
आकाराची ,आकार,ाची 
आकाराच ,आकार,ाच 
आकाराचे ,आकार,ाचे 
आकाराचेच ,आकार,ाचेच 
आकाराच्या ,आकार,ाच्या 
आकाराला ,आकार,ाला 
आकाराने ,आकार,ाने 
आकारानुसार ,आकार,ानुसार 
आकारासारखी ,आकार,ासारखी 
आकारावर् ,आकार,ावर् 
आकारात ,आकार,ात 
आकारीत ,आकार,ीत 
आकारून ,आकार,ून 
आकार ,आकार, 
आकारणी ,आकार,णी 
आकारणे ,आकार,णे 
आकारण्याची ,आकार,ण्याची 
आकारण्यात ,आकार,ण्यात 
आकारला ,आकार,ला 
आकारली ,आकार,ली 
आकारले ,आकार,ले 
आकारलेल्या ,आकार,लेल्या 
आकारताना ,आकार,ताना 
आकारतात ,आकार,तात 
आयुष्याशी ,आयुष्य,ाशी 
आयुष्याचा ,आयुष्य,ाचा 
आयुष्याची ,आयुष्य,ाची 
आयुष्याचे ,आयुष्य,ाचे 
आयुष्याच्या ,आयुष्य,ाच्या 
आयुष्याकडे ,आयुष्य,ाकडे 
आयुष्याला ,आयुष्य,ाला 
आयुष्यामध्ये ,आयुष्य,ामध्ये 
आयुष्यावर् ,आयुष्य,ावर् 
आयुष्यातील ,आयुष्य,ातील 
आयुष्यात ,आयुष्य,ात 
आयुष्यातही ,आयुष्य,ातही 
आयुष्यातला ,आयुष्य,ातला 
आयुष्यातल्या ,आयुष्य,ातल्या 
आयुष्य ,आयुष्य, 
आयुष्यभ्राची ,आयुष्य,भ्राची 
आयुष्यभ्र ,आयुष्य,भ्र 
आयुष्यच् ,आयुष्य,च् 
आयुष्यही ,आयुष्य,ही 
आयुष्यरेषेच्या ,आयुष्य,रेषेच्या 
आयुष्ये ,आयुष्य,े 
आयुष्येरेषे ,आयुष्य,ेरेषे 
आयुष्यरेषेच्या ,आयुष्यरेष,ेच्या 
ऑफिसातील ,ऑफिस,ातील 
ऑफिसात ,ऑफिस,ात 
ऑफिसातल्या ,ऑफिस,ातल्या 
ऑफिस ,ऑफिस, 
ऑफिसचा ,ऑफिस,चा 
ऑफिसक्डून ,ऑफिस,क्डून 
ऑफिसला ,ऑफिस,ला 
ऑफिसम्धून ,ऑफिस,म्धून 
ऑफिसम्ध्ये ,ऑफिस,म्ध्ये 
ऑफिसर् ,ऑफिस,र् 
ऑफिसर्चाही ,ऑफिस,र्चाही 
ऑफिसर्च्या ,ऑफिस,र्च्या 
ऑफिसर्कडे ,ऑफिस,र्कडे 
ऑफिसर्ला ,ऑफिस,र्ला 
ऑफिसर्स ,ऑफिस,र्स 
ऑफिसेस ,ऑफिस,ेस 
ऑफिसर् ,ऑफिसर्, 
ऑफिसर्चाही ,ऑफिसर्,चाही 
ऑफिसर्च्या ,ऑफिसर्,च्या 
ऑफिसर्कडे ,ऑफिसर्,कडे 
ऑफिसर्ला ,ऑफिसर्,ला 
ऑफिसर्स ,ऑफिसर्,स 
भांडव्लाचा ,भांडव्ल,ाचा 
भांडव्लाची ,भांडव्ल,ाची 
भांडव्लाचे ,भांडव्ल,ाचे 
भांडव्लाच्या ,भांडव्ल,ाच्या 
भांडव्लामुळे ,भांडव्ल,ामुळे 
भांडव्लापेकी ,भांडव्ल,ापेकी 
भांडव्लापेक्षा ,भांडव्ल,ापेक्षा 
भांडव्लासारखा ,भांडव्ल,ासारखा 
भांडव्लासंबंधीची ,भांडव्ल,ासंबंधीची 
भांडव्लावर् ,भांडव्ल,ावर् 
भांडव्ली ,भांडव्ल,ी 
भांडव्ल ,भांडव्ल, 
भांडव्लशाही ,भांडव्ल,शाही 
भांडव्लबाजारामार्फत् ,भांडव्ल,बाजारामार्फत् 
भांडव्लबाजारातून ,भांडव्ल,बाजारातून 
भांडव्लबाजारात ,भांडव्ल,बाजारात 
भांडव्लच्या ,भांडव्ल,च्या 
भांडव्लउभारणीशिवाय ,भांडव्ल,उभारणीशिवाय 
भांडव्लउपल्ब्धता ,भांडव्ल,उपल्ब्धता 
भांडव्लवाद ,भांडव्ल,वाद 
भांडव्लविषय्क ,भांडव्ल,विषय्क 
भांडव्लदारांकडून ,भांडव्ल,दारांकडून 
भांडव्लदारासाठी ,भांडव्ल,दारासाठी 
भागभांडव्लातून ,भांडव्ल,ातून 
भांडव्लबाजारामार्फत् ,भांडव्लबाजार,ामार्फत् 
भांडव्लबाजारातून ,भांडव्लबाजार,ातून 
भांडव्लबाजारात ,भांडव्लबाजार,ात 
भाषांतर् ,भाषांतर,् 
भाषांतराच्या ,भाषांतर,ाच्या 
भाषांतरासारखे ,भाषांतर,ासारखे 
भाषांतरात ,भाषांतर,ात 
भाषांतरीय ,भाषांतर,ीय 
भाषांतरे ,भाषांतर,े 
भाषण् ,भाषण,् 
भाषणांबद्दल् ,भाषण,ांबद्दल् 
भाषणांचा ,भाषण,ांचा 
भाषणांची ,भाषण,ांची 
भाषणांचे ,भाषण,ांचे 
भाषणांमुळे ,भाषण,ांमुळे 
भाषणांना ,भाषण,ांना 
भाषणांत ,भाषण,ांत 
भाषणाची ,भाषण,ाची 
भाषणाच्या ,भाषण,ाच्या 
भाषणाकरिता ,भाषण,ाकरिता 
भाषणाला ,भाषण,ाला 
भाषणावर् ,भाषण,ावर् 
भाषणाता ,भाषण,ाता 
भाषणातून ,भाषण,ातून 
भाषणात ,भाषण,ात 
भाषणातल्या ,भाषण,ातल्या 
भाषण्ं ,भाषण,्ं 
भाषण्ंबिषण्ं ,भाषण,्ंबिषण्ं 
भाषणे ,भाषण,े 
भाषणेच ,भाषण,ेच 
भाषण्देखील ,भाषण,्देखील 
संभाषण् ,भाषण,् 
संभाषणाचा ,भाषण,ाचा 
भाषिकांसाठी ,भाषिक,ांसाठी 
बहुभाषिकत्वाचे ,भाषिक,त्वाचे 
द्वेभाषिकामुळे ,भाषिक,ामुळे 
भाऊ ,भाऊ, 
भाऊंचा ,भाऊ,ंचा 
भाऊंना ,भाऊ,ंना 
भाऊंनी ,भाऊ,ंनी 
भाऊबंदांकडून ,भाऊ,बंदांकडून 
भाऊही ,भाऊ,ही 
भाऊनं ,भाऊ,नं 
भाऊराव ,भाऊ,राव 
भाऊसाहेबांच्याद्वारा ,भाऊ,साहेबांच्याद्वारा 
भाऊसाहेब ,भाऊ,साहेब 
भीमरावभाऊंनी ,भाऊ,ंनी 
चुलत्भाऊ ,भाऊ, 
गुंड्याभाऊ ,भाऊ, 
हरीभाऊ ,भाऊ, 
हरिभाऊ ,भाऊ, 
नरूभाऊ ,भाऊ, 
नरूभाऊंचा ,भाऊ,ंचा 
नरूभाऊंचे ,भाऊ,ंचे 
नरूभाऊंच्या ,भाऊ,ंच्या 
नरूभाऊंना ,भाऊ,ंना 
नरूभाऊची ,भाऊ,ची 
राजाभाऊ ,भाऊ, 
संभाभाऊ ,भाऊ, 
संभाभाऊला ,भाऊ,ला 
भाजीपाला ,भाजीपाल,ा 
भाजीपाल्यासारखी ,भाजीपाल,्यासारखी 
भारत् ,भारत,् 
भारताशी ,भारत,ाशी 
भारताची ,भारत,ाची 
भारताचे ,भारत,ाचे 
भारताच्या ,भारत,ाच्या 
भारतामध्ये ,भारत,ामध्ये 
भारतासारख्या ,भारत,ासारख्या 
भारतावर् ,भारत,ावर् 
भारताता ,भारत,ाता 
भारतातील ,भारत,ातील 
भारतात ,भारत,ात 
भारतातही ,भारत,ातही 
भारत्भर् ,भारत,्भर् 
भारती ,भारत,ी 
भारतीयांचं ,भारत,ीयांचं 
भारतीय ,भारत,ीय 
महाभारत् ,भारत,् 
महाभारताचा ,भारत,ाचा 
महाभारताकालीनच् ,भारत,ाकालीनच् 
महाभारतातील ,भारत,ातील 
महाभारतात ,भारत,ात 
महाभारत्काळात ,भारत,्काळात 
महाभारत्काला ,भारत,्काला 
महाभारत्कालीन ,भारत,्कालीन 
उभारता ,भारत,ा 
उभारताना ,भारत,ाना 
भीमरावांचे ,भीमराव,ांचे 
भीमरावांकडून ,भीमराव,ांकडून 
भीमरावांना ,भीमराव,ांना 
भीमरावांनी ,भीमराव,ांनी 
भीमरावभाऊंनी ,भीमराव,भाऊंनी 
भूमिका ,भूमिक,ा 
भूमिकांशी ,भूमिक,ांशी 
भूमिकांचे ,भूमिक,ांचे 
भूमिकाच ,भूमिक,ाच 
भूमिकाही ,भूमिक,ाही 
भूमिकेबद्दल्ची ,भूमिक,ेबद्दल्ची 
भूमिकेची ,भूमिक,ेची 
भूमिकेचे ,भूमिक,ेचे 
भूमिकेच्या ,भूमिक,ेच्या 
भूमिकेसाठी ,भूमिक,ेसाठी 
भूमिकेसाठीच ,भूमिक,ेसाठीच 
भूमिकेवरून ,भूमिक,ेवरून 
भूमिकेतील ,भूमिक,ेतील 
भूमिकेतून ,भूमिक,ेतून 
भविष्या ,भविष्य,ा 
भविष्याबाबत् ,भविष्य,ाबाबत् 
भविष्याबद्दल् ,भविष्य,ाबद्दल् 
भविष्याचा ,भविष्य,ाचा 
भविष्याची ,भविष्य,ाची 
भविष्याचे ,भविष्य,ाचे 
भविष्याकडे ,भविष्य,ाकडे 
भविष्याने ,भविष्य,ाने 
भविष्यासाठीच ,भविष्य,ासाठीच 
भविष्यातील ,भविष्य,ातील 
भविष्यात ,भविष्य,ात 
भविष्य ,भविष्य, 
भविष्यही ,भविष्य,ही 
भविष्यकाळाशी ,भविष्य,काळाशी 
भविष्यकाळाचा ,भविष्य,काळाचा 
भविष्यकाळात ,भविष्य,काळात 
भविष्यकाळ ,भविष्य,काळ 
भविष्यकालातील ,भविष्य,कालातील 
भविष्यकालीन ,भविष्य,कालीन 
भविष्यकाल ,भविष्य,काल 
भविष्यक्थनाची ,भविष्य,क्थनाची 
भविष्यक्थनातील ,भविष्य,क्थनातील 
भविष्यविषय्क ,भविष्य,विषय्क 
भविष्यति ,भविष्य,ति 
भविष्ये ,भविष्य,े 
भेटा ,भेट,ा 
भेटासाठी ,भेट,ासाठी 
भेटाया ,भेट,ाया 
भेटायासाठी ,भेट,ायासाठी 
भेटायची ,भेट,ायची 
भेटायच्ं ,भेट,ायच्ं 
भेटायच्ंय ,भेट,ायच्ंय 
भेटायचे ,भेट,ायचे 
भेटायचेच ,भेट,ायचेच 
भेटायला ,भेट,ायला 
भेटी ,भेट,ी 
भेटीबरोबर् ,भेट,ीबरोबर् 
भेटीचा ,भेट,ीचा 
भेटीची ,भेट,ीची 
भेटीच्या ,भेट,ीच्या 
भेटीगाठींच्या ,भेट,ीगाठींच्या 
भेटीगाठींमध्ये ,भेट,ीगाठींमध्ये 
भेटीला ,भेट,ीला 
भेटीमुळे ,भेट,ीमुळे 
भेटीनंतर् ,भेट,ीनंतर् 
भेटीसाठी ,भेट,ीसाठी 
भेटीस ,भेट,ीस 
भेटीसंबंधीचा ,भेट,ीसंबंधीचा 
भेटीत ,भेट,ीत 
भेटू ,भेट,ू 
भेटून ,भेट,ून 
भेट ,भेट, 
भेटण्याचा ,भेट,ण्याचा 
भेटण्याची ,भेट,ण्याची 
भेटण्याचे ,भेट,ण्याचे 
भेटण्यासाठी ,भेट,ण्यासाठी 
भेटण्यास ,भेट,ण्यास 
भेटला ,भेट,ला 
भेटलाच ,भेट,लाच 
भेटलाला ,भेट,लाला 
भेटलास ,भेट,लास 
भेटली ,भेट,ली 
भेटले ,भेट,ले 
भेटलेला ,भेट,लेला 
भेटलेली ,भेट,लेली 
भेटलेले ,भेट,लेले 
भेटलेलेच ,भेट,लेलेच 
भेटलेल्या ,भेट,लेल्या 
भेटलो ,भेट,लो 
भेटल्याखेरीज ,भेट,ल्याखेरीज 
भेटल्याबरोबर् ,भेट,ल्याबरोबर् 
भेटल्याबद्दल्चा ,भेट,ल्याबद्दल्चा 
भेटल्याचा ,भेट,ल्याचा 
भेटल्याची ,भेट,ल्याची 
भेटल्याचे ,भेट,ल्याचे 
भेटल्यासारखे ,भेट,ल्यासारखे 
भेटल्यावर् ,भेट,ल्यावर् 
भेटप्त्रिका ,भेट,प्त्रिका 
भेटत् ,भेट,त् 
भेटता ,भेट,ता 
भेटताता ,भेट,ताता 
भेटतात ,भेट,तात 
भेटतील ,भेट,तील 
भेटतीलच् ,भेट,तीलच् 
भेटते ,भेट,ते 
भेटतो ,भेट,तो 
भेटतोय ,भेट,तोय 
भेटेल ,भेट,ेल 
भेट्टेर् ,भेट,्टेर् 
गाठीभेटी ,भेट,ी 
गाठीभेटीही ,भेट,ीही 
भिंती ,भिंत,ी 
भिंतीशी ,भिंत,ीशी 
भिंतीबाहेरच् ,भिंत,ीबाहेरच् 
भिंतीच्या ,भिंत,ीच्या 
भिंतीकडेनं ,भिंत,ीकडेनं 
भिंतीला ,भिंत,ीला 
भिंतीमध्ये ,भिंत,ीमध्ये 
भिंतीपुरताच ,भिंत,ीपुरताच 
भिंतीवर् ,भिंत,ीवर् 
भिंतीवर्चा ,भिंत,ीवर्चा 
भिंतीवर्ची ,भिंत,ीवर्ची 
भिंतीवर्च्या ,भिंत,ीवर्च्या 
भिंतीवर्ती ,भिंत,ीवर्ती 
भिंतीत ,भिंत,ीत 
भिंत ,भिंत, 
भोजन् ,भोजन,् 
भोजना ,भोजन,ा 
भोजनाच्या ,भोजन,ाच्या 
भोजनालयात ,भोजन,ालयात 
भोजनास ,भोजन,ास 
भोजन्गृहात ,भोजन,्गृहात 
भोजन्ही ,भोजन,्ही 
इच्छाभोजन् ,भोजन,् 
इच्छाभोजनासाठी ,भोजन,ासाठी 
भ्रष्टाचाराच्या ,भ्रष्टाचार,ाच्या 
भ्रष्टाचाराला ,भ्रष्टाचार,ाला 
भ्रष्टाचारासमोर ,भ्रष्टाचार,ासमोर 
भ्रष्टाचार ,भ्रष्टाचार, 
छान ,छान, 
छानछोकीचे ,छान,छोकीचे 
छाननी ,छान,नी 
छानपेकी ,छान,पेकी 
छानस्ं ,छान,स्ं 
बिछाना ,छान,ा 
बिछान्यावर् ,छान,्यावर् 
बिछान्यावरून ,छान,्यावरून 
बिछान्यावर्च ,छान,्यावर्च 
बिछान्यात ,छान,्यात 
छापखान्यासाठी ,छापखान्,यासाठी 
छापखान्यात ,छापखान्,यात 
छापखान्यातली ,छापखान्,यातली 
छाती ,छाती, 
छातीशी ,छाती,शी 
छातीचा ,छाती,चा 
छातीची ,छाती,ची 
छातीमध्ये ,छाती,मध्ये 
छातीवर् ,छाती,वर् 
छातीत ,छाती,त 
छोटा ,छोट,ा 
छोटासा ,छोट,ासा 
छोटी ,छोट,ी 
छोटीशी ,छोट,ीशी 
छोटंसं ,छोट,ंसं 
छोटया ,छोट,या 
छोटयाशा ,छोट,याशा 
छोटयाच्या ,छोट,याच्या 
छोटे ,छोट,े 
छोटेखानी ,छोट,ेखानी 
छोटेमोठे ,छोट,ेमोठे 
छोटेसेच ,छोट,ेसेच 
छोट्या ,छोट,्या 
छोट्याशा ,छोट,्याशा 
ढिगारा ,ढिग,ारा 
ढिगाऱ्याशेजारी ,ढिग,ाऱ्याशेजारी 
ढिगाऱ्यातून ,ढिग,ाऱ्यातून 
ढिगात ,ढिग,ात 
ऐकायला ,ऐकायला, 
ऐकायलादेखील ,ऐकायला,देखील 
घाणेकर् ,घाणेकर,् 
घाणेकरा ,घाणेकर,ा 
घाणेकरांशी ,घाणेकर,ांशी 
घाणेकरांचा ,घाणेकर,ांचा 
घाणेकरांचाही ,घाणेकर,ांचाही 
घाणेकरांची ,घाणेकर,ांची 
घाणेकरांचे ,घाणेकर,ांचे 
घाणेकरांच्या ,घाणेकर,ांच्या 
घाणेकरांच्यासंबधी ,घाणेकर,ांच्यासंबधी 
घाणेकरांना ,घाणेकर,ांना 
घाणेकरांनी ,घाणेकर,ांनी 
